category,question,answer,source_page,source
Admission,Is passing all Tawjihi subjects required?,"Yes. Applicants must pass all Tawjihi subjects, with final grades above 50%.",24,Untitled document(1).pdf
Admission,Can I apply to more than one major?,No. An applicant can apply to one major only.,24,Untitled document(1).pdf
Admission,Can I move to a lower degree level if not accepted to BSc?,"The policy allows applicants to be considered for the nearest degree level for which they are eligible, subject to tolerances and programme rules.",24,Untitled document(1).pdf
BTEC,What must BTEC applicants submit?,"Pearson Level 2 and Level 3 certificates, BTEC academic equivalency, and completion of the four Ministry exams.",25,Untitled document(1).pdf
Fees,What is the difference between regular and international fees?,Regular fees apply to Jordanians and qualifying non-Jordanians residing in Jordan; international fees apply to international students with an accredited secondary certificate.,25,Untitled document(1).pdf
Bridging,Are bridging students accepted?,"Yes, subject to an 80% comprehensive exam score or associate GPA and a corresponding prior major.",25-26,Untitled document(1).pdf
Architecture,What does the Architecture entry exam assess?,"Logic, interpretation, visual reading, imagination, creativity, and translating ideas into simple drawings and forms; it does not test prior architecture, physics or mathematics knowledge.",26,Untitled document(1).pdf
General,Does HTU provide student housing?,"No on-campus housing is provided, but Student Affairs assists students in finding nearby accommodation.",31,Untitled document(1).pdf
General,Does HTU offer exchange programmes?,Yes. HTU collaborates with international universities and supports student exchange opportunities.,31,Untitled document(1).pdf
Scholarships,Are scholarships available for international students?,The document states that currently listed scholarships are open to students expected to complete Jordanian Tawjihi in 2025-2026.,35,Untitled document(1).pdf
Interview,What is required in the personal introductory video?,"Introduce yourself and speak about your hobbies, extracurricular activities, why you chose HTU, and your future aspirations. The video should be one minute.",21,Untitled document(1).pdf
Interview,Do extracurricular activities and additional certificates add bonus points?,"Yes. They can add up to 10 bonus points when evaluated with the personal interview, provided the certificates are uploaded with the application documents.",17,Untitled document(1).pdf
Interview,What does the admissions test assess?,The admissions test assesses logical reasoning through different means and does not require prior preparation.,21,Untitled document(1).pdf
Application,What are the stages of early admission?,"Application; invitations to admissions tests; personal interview, video and extracurricular evaluation; processing applicant data; then conditional acceptance offers.",20,Untitled document(1).pdf
Application,What documents are required for early admission?,"Portrait photo, certified personal ID, passport details page, birth certificate, Grade 11 transcript or relevant pre-final international certificates, and extracurricular-activity certificates.",22,Untitled document(1).pdf
Academic Rules,What degrees and certificates can HTU award?,"HTU may award bachelor's degrees, intermediate university degrees, technician certificates, and other degrees or certificates approved by the Council of Deans.",1,نظام منح الدرجات العلمية و الشهادات.pdf
Academic Rules,How long are intermediate university programmes?,The regulation states that intermediate university programmes range from one and a half to three years.,2,نظام البرامج الجامعية المتوسطة.pdf
University,Where is HTU located?,"HTU's main location is in Amman at King Hussein Business Park, Building 23.",1,النظام الأساسي.pdf
Study Plans,How many credit hours are required for Architectural Engineering?,"The official plans list 172 credit hours for the bachelor's degree, 136 for the technical degree, and 76 for the technician degree.",1,Architectural Engineering official study plans 2022/2023
Study Plans,How many credit hours are required for Industrial Engineering?,The official plans list 166 credit hours for the bachelor's degree and 132 for the technical degree.,3,Industrial Engineering official study plans 2023
Study Plans,How many credit hours are required for Computer Science?,The official plans list 87 credit hours for the BSc degree and 63 credit hours for the Technical degree.,all,Computer Science official study plans
Study Plans,Does Computer Science have a Technical degree?,Yes. The uploaded official plan includes a Technical Degree in Computer Science.,1,73f333d7-5819-ed11-b847-00155d140b05_fe5c3d8583084046b54b99784d0ed024.pdf
Study Plans,What is the current Mechanical Engineering plan?,The current indexed Mechanical Engineering BSc plan is the 2022 plan with version date January 2025 and a total of 166 credit hours.,1-4,3c891da3-1138-eb11-9240-00155d404d09_fa9e0e99ae774274bc84a8ca9fd349d4.pdf
