department,text,source,status
admission,"Tawjihi applicants to Mechanical Engineering, Energy Engineering, Electrical Engineering, Architectural Engineering, and Cyber Security must satisfy the mathematics, physics, and general-average requirements. For the bachelor group shown in the admission policy, the minimum is 80 percent in each of the three conditions.",HTU uploaded documents / generated seed summary,prototype
admission,"Tawjihi applicants to Computer Science, Data Science and Artificial Intelligence, and Industrial Engineering must satisfy all three academic conditions. The displayed minimum is 85 percent in mathematics, 85 percent in physics, and 85 percent in the general average.",HTU uploaded documents / generated seed summary,prototype
admission,"The technical degree in Game Design and Development uses a minimum of 70 percent in mathematics, physics, and the general average, with all three conditions required.",HTU uploaded documents / generated seed summary,prototype
computer_science,"The Computer Science study plan includes Functional Math, Maths for Computing, Fundamentals of Computing, Programming, Discrete Maths, Data Structures and Algorithms, Website Design and Development, Security, Advanced Programming, Software Development Lifecycles, Database Design and Development, and a Computing Research Project.",HTU uploaded documents / generated seed summary,prototype
cybersecurity,"The Cybersecurity study plan includes Networking, Programming, Data Structures and Algorithms, Security, Cryptography, Network Security, Digital Forensics, Information Security Management, Database Design and Development, and a Computing Research Project.",HTU uploaded documents / generated seed summary,prototype
data_science_ai,"The Data Science and Artificial Intelligence study plan includes Programming, Data Structures and Algorithms, Database Design and Development, Operating Systems, Business Intelligence, Artificial Intelligence and Intelligent Systems, Principles of Data Science and Computing Systems, Data Science Programming, Data Analytics, Data Mining, Modeling and Simulation, and Machine Learning.",HTU uploaded documents / generated seed summary,prototype
mechanical,"Mechanical Engineering prepares students to apply science, mathematics, technology, and engineering fundamentals; design and conduct experiments; analyse results; design and build mechanical systems; use modern engineering tools; solve engineering problems; communicate effectively; and work in multidisciplinary teams.",HTU uploaded documents / generated seed summary,prototype
electrical,"Electrical Engineering prepares students to apply science, mathematics, technology, and engineering fundamentals to electrical applications. The programme emphasises experiments, modelling, practical electrical systems, modern engineering and computing tools, engineering problem solving, communication, and teamwork.",HTU uploaded documents / generated seed summary,prototype
energy,"Energy Engineering prepares students to design, model, analyse, and build practical energy systems. It includes science, mathematics, experiments, modern engineering tools, problem solving, teamwork, sustainability awareness, entrepreneurship, and industry preparation.",HTU uploaded documents / generated seed summary,prototype
industrial,"Industrial Engineering focuses on operations research, production planning, quality control, manufacturing, data analytics, artificial intelligence, enterprise resource planning, Industry 4.0, logistics, supply chain, and business operations.",HTU uploaded documents / generated seed summary,prototype
game_design,"Game Design and Development is a technical programme with a 72-credit-hour study plan. It combines university requirements, college requirements, labour-market requirements, and specialisation requirements.",HTU uploaded documents / generated seed summary,prototype
recommendation,The recommendation result is based on the student's interest features and must be checked against academic eligibility. A strong interest match does not override official admission requirements.,HTU uploaded documents / generated seed summary,prototype
recommendation,The prototype can return a strongest interest match and compare it with the list of majors for which the student is academically eligible.,HTU uploaded documents / generated seed summary,prototype
privacy,"The prototype should avoid collecting unnecessary personal information. Student answers should be stored only when needed for recommendations, analytics, or user-requested history.",HTU uploaded documents / generated seed summary,prototype
