chunk_id,category,title,text,language,major,source,status
seed_0000,admission,Admission,"Tawjihi applicants to Mechanical Engineering, Energy Engineering, Electrical Engineering, Architectural Engineering, and Cyber Security must satisfy the mathematics, physics, and general-average requirements. For the bachelor group shown in the admission policy, the minimum is 80 percent in each of the three conditions.",en,,HTU uploaded documents / generated seed summary,prototype
seed_0001,admission,Admission,"Tawjihi applicants to Computer Science, Data Science and Artificial Intelligence, and Industrial Engineering must satisfy all three academic conditions. The displayed minimum is 85 percent in mathematics, 85 percent in physics, and 85 percent in the general average.",en,,HTU uploaded documents / generated seed summary,prototype
seed_0002,admission,Admission,"The technical degree in Game Design and Development uses a minimum of 70 percent in mathematics, physics, and the general average, with all three conditions required.",en,,HTU uploaded documents / generated seed summary,prototype
seed_0003,computer_science,Computer Science,"The Computer Science study plan includes Functional Math, Maths for Computing, Fundamentals of Computing, Programming, Discrete Maths, Data Structures and Algorithms, Website Design and Development, Security, Advanced Programming, Software Development Lifecycles, Database Design and Development, and a Computing Research Project.",en,,HTU uploaded documents / generated seed summary,prototype
seed_0004,cybersecurity,Cybersecurity,"The Cybersecurity study plan includes Networking, Programming, Data Structures and Algorithms, Security, Cryptography, Network Security, Digital Forensics, Information Security Management, Database Design and Development, and a Computing Research Project.",en,,HTU uploaded documents / generated seed summary,prototype
seed_0005,data_science_ai,Data Science Ai,"The Data Science and Artificial Intelligence study plan includes Programming, Data Structures and Algorithms, Database Design and Development, Operating Systems, Business Intelligence, Artificial Intelligence and Intelligent Systems, Principles of Data Science and Computing Systems, Data Science Programming, Data Analytics, Data Mining, Modeling and Simulation, and Machine Learning.",en,,HTU uploaded documents / generated seed summary,prototype
seed_0006,mechanical,Mechanical,"Mechanical Engineering prepares students to apply science, mathematics, technology, and engineering fundamentals; design and conduct experiments; analyse results; design and build mechanical systems; use modern engineering tools; solve engineering problems; communicate effectively; and work in multidisciplinary teams.",en,,HTU uploaded documents / generated seed summary,prototype
seed_0007,electrical,Electrical,"Electrical Engineering prepares students to apply science, mathematics, technology, and engineering fundamentals to electrical applications. The programme emphasises experiments, modelling, practical electrical systems, modern engineering and computing tools, engineering problem solving, communication, and teamwork.",en,,HTU uploaded documents / generated seed summary,prototype
seed_0008,energy,Energy,"Energy Engineering prepares students to design, model, analyse, and build practical energy systems. It includes science, mathematics, experiments, modern engineering tools, problem solving, teamwork, sustainability awareness, entrepreneurship, and industry preparation.",en,,HTU uploaded documents / generated seed summary,prototype
seed_0009,industrial,Industrial,"Industrial Engineering focuses on operations research, production planning, quality control, manufacturing, data analytics, artificial intelligence, enterprise resource planning, Industry 4.0, logistics, supply chain, and business operations.",en,,HTU uploaded documents / generated seed summary,prototype
seed_0010,game_design,Game Design,"Game Design and Development is a technical programme with a 72-credit-hour study plan. It combines university requirements, college requirements, labour-market requirements, and specialisation requirements.",en,,HTU uploaded documents / generated seed summary,prototype
seed_0011,recommendation,Recommendation,The recommendation result is based on the student's interest features and must be checked against academic eligibility. A strong interest match does not override official admission requirements.,en,,HTU uploaded documents / generated seed summary,prototype
seed_0012,recommendation,Recommendation,The prototype can return a strongest interest match and compare it with the list of majors for which the student is academically eligible.,en,,HTU uploaded documents / generated seed summary,prototype
seed_0013,privacy,Privacy,"The prototype should avoid collecting unnecessary personal information. Student answers should be stored only when needed for recommendations, analytics, or user-requested history.",en,,HTU uploaded documents / generated seed summary,prototype
courses_0014,courses,Architectural Engineering courses,Courses currently indexed for Architectural Engineering: SEED-AE-001 — Architectural Design Fundamentals (3 credit hours; prerequisite: Prototype entry),en,Architectural Engineering,courses_seed.csv,prototype
courses_0015,courses,Computer Science courses,Courses currently indexed for Computer Science: 0040201100 — Programming (3 credit hours; prerequisite: Fundamentals of Computing); 0040201201 — Data Structures & Algorithms (3 credit hours; prerequisite: Programming); 0040201260 — Website Design & Development (3 credit hours; prerequisite: Programming); 0010204282 — Database Design & Development (3 credit hours; prerequisite: Programming),en,Computer Science,courses_seed.csv,prototype
courses_0016,courses,Cyber Security courses,Courses currently indexed for Cyber Security: 0010203340 — Cryptography (3 credit hours; prerequisite: Discrete Maths); 0010203210 — Network Security (3 credit hours; prerequisite: Security); 0010203361 — Forensics (3 credit hours; prerequisite: Computer Organization and Design; Security),en,Cyber Security,courses_seed.csv,prototype
courses_0017,courses,Data Science and Artificial Intelligence courses,Courses currently indexed for Data Science and Artificial Intelligence: 0010204250 — Artificial Intelligence & Intelligent Systems (3 credit hours; prerequisite: Maths for Computing); 0010204210 — Data Analytics (3 credit hours; prerequisite: Maths for Computing); 0000204430 — Data Mining (3 credit hours; prerequisite: Data Analytics); 0010204350 — Machine Learning (3 credit hours; prerequisite: See official study plan),en,Data Science and Artificial Intelligence,courses_seed.csv,prototype
courses_0018,courses,Electrical Engineering courses,Courses currently indexed for Electrical Engineering: 30303112 — Functional Physics (3 credit hours; prerequisite: nan); 00103110 — Engineering Math (4 credit hours; prerequisite: Functional Math),en,Electrical Engineering,courses_seed.csv,prototype
courses_0019,courses,Energy Engineering courses,Courses currently indexed for Energy Engineering: SEED-ENE-001 — Energy Systems (3 credit hours; prerequisite: Prototype entry),en,Energy Engineering,courses_seed.csv,prototype
courses_0020,courses,Game Design and Development courses,Courses currently indexed for Game Design and Development: SEED-GD-001 — Game Design Fundamentals (3 credit hours; prerequisite: Prototype entry),en,Game Design and Development,courses_seed.csv,prototype
courses_0021,courses,Industrial Engineering courses,Courses currently indexed for Industrial Engineering: SEED-IE-001 — Operations Research (3 credit hours; prerequisite: Prototype entry),en,Industrial Engineering,courses_seed.csv,prototype
courses_0022,courses,Mechanical Engineering courses,Courses currently indexed for Mechanical Engineering: SEED-ME-001 — Mechanical Systems and Design (3 credit hours; prerequisite: Prototype entry),en,Mechanical Engineering,courses_seed.csv,prototype
study_0023,study_plan,Electrical Engineering study plan,"1 School of Engineering Technology Electrical Engineering Department Bachelor Degree in Electrical Engineering Study Plan 2022 2 Program Objectives 1. Provide world-class, flexible, STEM-based education which combines in-depth technical knowledge with professional, leadership, and entrepreneurial skills. 2. Build advanced practical and technical skills to enable the student to conceive, design, build, and test complex engineering systems. 3. Provide the student with a hands-on understanding of the evolving market needs through a tailored and intensive industry-based apprenticeship scheme. 4. Create opportunities to enhance the student’s character, soft skills and adaptation abilities within different multidisciplinary teams and various professional environments. 5. Emphasize the necessity of engaging in life-long independent learning and professional development. 6.",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0024,study_plan,Electrical Engineering study plan,"environments. 5. Emphasize the necessity of engaging in life-long independent learning and professional development. 6. Equip the student with the relevant up-to-date skills for employment in a variety of technical and engineering fields, or initiating an innovative entrepreneurial venture or a technology startup. 7. Enable the student to progress in graduate studies in relevant technical or engineering fields. Learning Outcomes Upon graduation, the graduate of the Electrical Engineering Program should be able to: 1. Apply the knowledge of science, mathematics, technology, and engineering fundamentals to electrical engineering applications. 2. Design and conduct experiments, as well as analyze and present results in a professional manner. 3. Design, model, analyze and build practical electrical systems to meet specific requirements and realistic constraints. 4.",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0025,study_plan,Electrical Engineering study plan,"esign, model, analyze and build practical electrical systems to meet specific requirements and realistic constraints. 4. Use the techniques, skills and modern engineering and computing tools necessary for engineering practices. 5. Identify, formulate and solve engineering problems. 6. Communicate effectively and function in multidisciplinary teams. 3 7. Understand professional and ethical issues and the responsibilities of the engineering practice. 8. Recognize contemporary issues and environmental, cultural, and economical considerations of the engineering profession. 9. Appreciate the need for professional development and engage in life-long learning. 10. Engage in entrepreneurial activity and understand the value of technology innovation. 11. Understand the requirements and constraints of the professional employment environment.",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0026,study_plan,Electrical Engineering study plan,"ue of technology innovation. 11. Understand the requirements and constraints of the professional employment environment. Assessment of Learning Outcomes Assessment model requires the students to engage with a variety of assessment tools including design and practical projects, laboratory activities and simulations, take-home assignments and conventional in-class examinations. The assessment tools are designed to support the development of the students’ knowledge, deep understanding, self-efficacy and confidence. Examinations are required to be based on practical scenarios to maintain the connection between the theoretical and experimental parts of knowledge delivered through the courses.",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0027,study_plan,Electrical Engineering study plan,"os to maintain the connection between the theoretical and experimental parts of knowledge delivered through the courses. A robust quality assurance system relying on systematic internal-verification procedures is used, monitoring the assignments in terms of content and grading, ensuring that the best implementation is adopted. Feedback to the students is given in the form of formative and summative feedback. Formative support is continuously provided to the students throughout the course, leading them constructively towards enhancing their understanding and skills, based on their performance that is measured by various assessment tools. 4 Framework of Bachelor’s Degree Classification Credit Hours Compulsory Elective Total University Requirements 24 3 27 School Requirements 35 0 35 Program Requirements 77 9 86 Professional Apprenticeship Training 18 0 18 Total 154 12 166 5 1.",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0028,study_plan,Electrical Engineering study plan,ool Requirements 35 0 35 Program Requirements 77 9 86 Professional Apprenticeship Training 18 0 18 Total 154 12 166 5 1. University Requirements: (27 credit hours) 1.1. Compulsory: (24 credit hours) Course ID Course Title Credit Hours Contact Hours Prerequisite Lecture Practical 30301121 Pre-Intermediate English Intensive + Lab 4 3 6 30301120 Pre-Foundation English Elementary Intensive 30301122 English Intermediate 3 6 0 30301121 30301123 English Upper-Intermediate 3 6 0 30301122 30301124 English Advanced 3 6 0 30301123 40302111 Professional Skills 1 2 0 - 40302211 Professional Practice 3 4 0 40302111 40302231 Entrepreneurship Bootcamp 4 2 6 30301123 & 40302211 30302232 Leadership Camp 1 3 0 30302231 or 40302231 30301111 Arabic Language & Communication Skills 1 1 0 30301110 30302129 Military Science 1 0 0 - Total 24 1.2.,en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0029,study_plan,Electrical Engineering study plan,40302231 30301111 Arabic Language & Communication Skills 1 1 0 30301110 30302129 Military Science 1 0 0 - Total 24 1.2. Elective: 3 Credit Hours (three courses out of the following) Course ID Course Title Credit Hours Contact Hours Prerequisite Lecture Practical 30301130 Foundational French Language 1 3 0 - 30301131 French Language Level 1 1 3 0 30301130 30301232 French Language Level 2 1 3 0 30301131 30301233 French Language Level 3 1 3 0 30301232 30301140 Foundational German Language 1 3 0 - 30301141 German Language level 1 1 3 0 30301140 30301150 Foundational Spanish Language 1 3 0 - 30301160 Foundational Turkish Language 1 3 0 - 30301170 Foundational Italian Language 1 3 0 30301171 Italian Language 1 3 0 30301170 30301180 Chinese 1 1 3 0 30301221 Development Academic Writing 1 3 0 30301124 30301222 Research and Technical Writing 1 3 0 30301124 30302121 Science & Society Seminar I: A,en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0030,study_plan,Electrical Engineering study plan,"ic Writing 1 3 0 30301124 30301222 Research and Technical Writing 1 3 0 30301124 30302121 Science & Society Seminar I: Arab Contributions to Science and Arts 1 3 0 - 30302122 Science & Society Seminar II: Philosophy of Science 1 3 0 - 30302123 Art Appreciation and Techniques 1 3 0 - 30302124 Civil & Professional Culture 1 3 0 - 30302125 Rights and Responsibilities: Understanding Human Rights 1 3 0 - 6 30302126 Introduction to cultural Anthropology-Focus on Urban Anthropology 1 3 0 - 30302127 Jerusalem, History and Civilization 1 3 0 - 30302128 Jordan: History and Civilization 1 3 0 - 30302133 Principles of Management 1 3 0 - 30302134 Strategies for Industry Competitiveness: Tools & Techniques 1 3 0 - 30302135 Principles of Accounting 1 3 0 - 30302136 Principles of Economics 1 3 0 - 30302237 Free Choice Elective 1 0 0 - 40302233 Business Analytics 1 3 0 - 40302221 Speech and Debate 1 3 0",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0031,study_plan,Electrical Engineering study plan,mics 1 3 0 - 30302237 Free Choice Elective 1 0 0 - 40302233 Business Analytics 1 3 0 - 40302221 Speech and Debate 1 3 0 - 30301223 Introduction to Translation 1 3 0 30301124 Total 3 2. School Requirements: (35 credit hours) Course ID Course Title Credit Hours Contact Hours Type Prerequisite Lecture Practical 30303111 Functional Math 3 3 0 HTU 30303110 30303112 Functional Physics 3 3 0 HTU - 40303130 Fundamentals of Computing 4 6 0 HTU - 00101100 Introduction to Engineering Drawing 1 0 3 HTU - 00103101 STEM Lab I 1 0 3 HTU - 00102102 STEM Lab II 1 0 3 HTU 00103101 00101103 Workshop I 2 0 6 HTU - 00101104 Workshop II 1 0 3 HTU 00101103 00103110 Engineering Math 4 3 3 HNC 30303111 00102111 Engineering Science 4 3 3 HNC 30303112 00101112 Engineering Design 4 3 3 HNC 00101100 00102220 Managing a Professional Engineering Project 4 3 3 HNC 00101112 00103375 Introduction to AI and Data Sciences,en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0032,study_plan,Electrical Engineering study plan,"0 00102220 Managing a Professional Engineering Project 4 3 3 HNC 00101112 00103375 Introduction to AI and Data Sciences 3 2 3 HTU 40303130 & 00103110 Total 35 7 3. Program Requirements (86 credit hours) 3.1. Compulsory: (77 credit hours) Course ID Course Title Credit Hours Contact Hours Type Prerequisite Lecture Practical 00103205 Advanced Workshop for Electrical Engineers 1 0 3 HTU 00101104 00103230 Electrical and Electronic Principles 4 3 3 HNC 00102111 00103282 Digital Design 3 2 3 HTU 40303130 00103240 Electronic Circuits and Devices 4 3 3 HNC 00103230 00103250 Instrumentation and Control Systems 4 3 3 HNC 00103230 00103213 Further Mathematics 4 3 3 HND 00103110 00103383 Programmable Logic Controllers 3 2 3 HTU 00103282, 00103250 00102321 Professional Engineering Management 4 3 3 HND 00102220 00103331 Industrial Power, Electronics and Storage 4 3 3 HND 00103240 00103351 Industrial Sy",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0033,study_plan,Electrical Engineering study plan,"nagement 4 3 3 HND 00102220 00103331 Industrial Power, Electronics and Storage 4 3 3 HND 00103240 00103351 Industrial Systems 4 3 3 HND 00103250, 00103282 00103232 Further Electrical, Electronic and Digital Principles 4 3 3 HND 00103230, 00103213 00103352 Further Control Systems 4 3 3 HND 00103250, 00103213 00103490 Research Project for Electrical Engineers 4 2 6 HND Passed 90 credit hours 00103568 Engineering Electromagnetics 3 3 0 HTU 00103230. 00103213 00103367 Telecommunication Principles 4 3 3 HNC 00103282, 00103110 00103333 Electrical Machines 3 2 3 HTU 00103232 00103534 Power Systems 3 2 3 HTU 00103232 00103581 Embedded Systems 3 2 3 HTU 00103282 00102541 Photovoltaic Systems 3 2 3 HTU 00103232 00103546 Advanced Electronics 3 2 3 HTU 00103240 00103566 Speech and Image Processing 3 2 3 HTU 00103375, 00103213 00103553 Industry 4.0 1 0 3 HTU 00103351, 00103367 8 00102523 Health, Safe",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0034,study_plan,Electrical Engineering study plan,"Image Processing 3 2 3 HTU 00103375, 00103213 00103553 Industry 4.0 1 0 3 HTU 00103351, 00103367 8 00102523 Health, Safety, and Environment 1 1 0 HTU 00102321 00103595 Capstone Project for Electrical Engineering 1 0 3 HTU 00103490 00103596 Capstone Project for Electrical Engineering Continuation 2 0 6 HTU 00103595 Total 77 3.2. Electives: (9 credit hours) (Three courses out of the following) A minimum of 9 credit hours of engineering coursework are required. This list is considered to be open for modifications on the base of the decision of the school council before registration.",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0035,study_plan,Electrical Engineering study plan,"s list is considered to be open for modifications on the base of the decision of the school council before registration. Course ID Course Title Credit Hours Contact Hours Type Prerequisite Lecture Practical 00103574 Algorithms and Optimization 3 2 3 HTU 00103375, 00103213 00103571 Data Analytics 3 3 0 HTU 00103375, 00103213 00103572 Artificial Intelligence and Engineering Applications 3 3 0 HTU 00103375, 00103213 00103573 Machine Learning 3 3 0 HTU 00103375, 00103213 00101535 Mechatronics 3 2 3 HTU 00103250 00103554 Mobile Robotics 3 2 3 HTU 00103250 00103555 Industrial Robotics 3 2 3 HTU 00103250 00102544 Green Buildings 3 2 3 HTU 00102111 00102551 Smart Grids 3 2 3 HTU 00103331 00102505 Energy Storage 3 2 3 HTU 00103331 00103522 Electrical Installations for Buildings 3 3 0 HTU 00103232 00102552 Electric and Hybrid Vehicles 3 2 3 HTU 00103333 00103539 Power Electronics and Drives 3 3 0",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0036,study_plan,Electrical Engineering study plan,"3 3 0 HTU 00103232 00102552 Electric and Hybrid Vehicles 3 2 3 HTU 00103333 00103539 Power Electronics and Drives 3 3 0 HTU 00103333, 00103232 00103535 Power System Quality, Reliability and Protection 3 3 0 HTU 00103534 00103537 Special Topics in Power Systems 3 3 0 HTU 00103534 00103545 Special Topics in Clinical Engineering 3 3 0 HTU 00103240 00103565 Special Topics in Communications 3 3 0 HTU 00103367 00103584 Special Topics in Computer Engineering 3 3 0 HTU 00103375 00103422 Special Topics 1 1 1 0 HTU - 00103453 Special Topics 2 2 2 0 HTU - Total 9 9 4.",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0037,study_plan,Electrical Engineering study plan,Engineering 3 3 0 HTU 00103375 00103422 Special Topics 1 1 1 0 HTU - 00103453 Special Topics 2 2 2 0 HTU - Total 9 9 4. Professional Apprentice Requirements (18 credit hours) (8 months) Course ID Course Title Credit Hours Contact Hours Type Prerequisite Lecture Practical 00103497 Practical Training for Electrical Engineering (PATH) 6 0 10 HTU 40302231 Department Approval Passed 100 CHs 00103498 Practical Training for Electrical Engineering (PATH) Continuation 12 0 30 HTU 00103497 Total 18 10 Course Identification Convention Version (1st Digit) School (2nd&3rd Digit) Department (4th&5th Digit) Level (6th Digit) Knowledge Group (7th Digit) Sequence 0 01: Engineering Technology 01: Mechanical Engineering 02: Energy Engineering 03: Electrical Engineering 1: 1st Year 2: 2nd Year 3: 3rd Year 4: 4th Year 5: 5th Year 0: Engineering Skills 1: Engineering Science 2: Engineering Management 3: Powe,en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0038,study_plan,Electrical Engineering study plan,Year 3: 3rd Year 4: 4th Year 5: 5th Year 0: Engineering Skills 1: Engineering Science 2: Engineering Management 3: Power & Energy 4: Electronics 5: Industrial & Control 6: Communications & Networking 7: Data Science 8: Computer 9: Research & Professional Skills Study Plan Knowledge Groups Course ID Course Title Group 0 Engineering Skills 40303130 Fundamentals of Computing 00101100 Introduction to Engineering Drawing 00103101 STEM Lab I 00102102 STEM Lab II 00101103 Workshop I 00101104 Workshop II 00103205 Advanced Workshop for Electrical Engineers Group 1 Engineering Science 30303111 Functional Math 30303112 Functional Physics 00103110 Engineering Math 00102111 Engineering Science 00101112 Engineering Design 00103213 Further Mathematics 11 Group 2 Engineering Management 00102220 00102321 00103522 00103422 Managing a Professional Engineering Project Professional Engineering Management El,en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0039,study_plan,Electrical Engineering study plan,"t 00102220 00102321 00103522 00103422 Managing a Professional Engineering Project Professional Engineering Management Electrical Installations for Buildings Special Topics 1 Group 3 Power & Energy 00103230 00103331 00103232 00103333 00103534 00103535 00103537 00103539 Electrical and Electronic Principles Industrial Power, Electronics and Storage Further Electrical, Electronic and Digital Principles Electrical Machines Power Systems Power System Quality, Reliability and Protection Special Topics in Power Systems Power Electronics and Drives Group 4 Electronics 00103240 00103542 00103545 00103546 Electronic Circuits and Devices Digital Electronic Systems Special Topics in Clinical Engineering Advanced Electronics Group 5 Industrial Control and Robotics 00103250 00103351 00103352 00103553 00103554 00103555 00103453 Instrumentation and Control Systems Industrial Systems Further Control Syste",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0040,study_plan,Electrical Engineering study plan,0103352 00103553 00103554 00103555 00103453 Instrumentation and Control Systems Industrial Systems Further Control Systems Industry 4.0 Mobile Robotics Industrial Robotics Special Topics 2 Group 6 Communications and Signal Processing 00103565 00103566 00103567 00103568 00103565 Special Topics in Communications Speech and Image Processing Telecommunication Principles Engineering Electromagnetics Special Topics in Communications Group 7 Data Science 00103570 00103571 00103572 00103573 00103574 00103375 Data Structures and Algorithms Data Analytics Artificial Intelligence and Engineering Applications Machine Learning Algorithms and Optimization Introduction to AI and Data Sciences Group 8 Computer 00103581 00103282 00103383 00103584 Embedded Systems Digital Design Programmable Logic Controllers Special Topics in Computer Engineering Group 9 Research & Professional Skills 00103490 00103591 0,en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0041,study_plan,Electrical Engineering study plan,"able Logic Controllers Special Topics in Computer Engineering Group 9 Research & Professional Skills 00103490 00103591 00103492 00103494 00103595 00103596 00103497 00103498 Research Project for Electrical Engineers Capstone Project for Electrical Engineers Practical Training for Electrical Engineers Practical Training for Electrical Engineers Continuation Capstone Project for Electrical Engineering Capstone Project for Electrical Engineering Continuation Practical Training for Electrical Engineering (PATH) Practical Training for Electrical Engineering (PATH) Continuation 12 Course Descriptions University Compulsory Course Descriptions 30301120: Pre-Foundation English Elementary Intensive + Lab, 4 Cr (6,3) This foundation course deals with all language skills: speaking, listening, reading, writing, grammar review, and vocabulary building.",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0042,study_plan,Electrical Engineering study plan,"n course deals with all language skills: speaking, listening, reading, writing, grammar review, and vocabulary building. The overall objective of the course is to ensure that students will be able to understand straightforward information in the spoken and written language and to express themselves in speech and in writing for simple practical purposes in everyday situations requiring a simple and direct exchange of information. By the end of the course, students will reach an A2 level on the Global Scale of English (GSE). Students will be evaluated on their ability to understand sentences and frequently used expressions related to areas of most immediate relevance. Students will be able to describe in simple terms aspects of their background, immediate environment, and matters in areas of immediate need.",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
study_0043,study_plan,Electrical Engineering study plan,"to describe in simple terms aspects of their background, immediate environment, and matters in areas of immediate need. This course also includes scheduled lab time, dedicated to practice and/or other work assigned by the instructor to enhance students’ communication skills [including assigned homework/in-class practice], writing or speaking workshops, and projects. Prerequisites : Placement test score: Pearson 0-35, VTEST A1, A2.1, A2.2 (0-34), TOEFL IBT: 0-31, IELTS: 0- 4.0, TOEFL ITP: 0-399 30301121: Pre-Intermediate English Intensive + Lab, 4 Cr (6,3) This foundation course deals with all language skills: speaking, listening, reading, writing, grammar review, and vocabulary development.",en,Electrical Engineering,Electrical_StudyPlan 1.txt,source
